crops,temperature,Annualrainfall,
,,,
cotton,18°-27°C,60-110 cm,
cereals,30°C,75-100 cm,
wheat,12°-25°C,25-75 cm,
oil seeds,15°-30°C,30-50 cm,
tobacoo,15°-20°C,50-100 cm,
sugar cane,20°-35°C,85-165 cm,
citrus friuts,7°-47°C,700 mm,
bajra,25°-35°C,25-60 cm,
soya bean ,26°-30°C,400-500 mm,
rice, 15°-27° C,100- 150 cm,
mustard,15°-25°C,600-1000 mm,
ground nut,20°-30°C,50-75 cm,
sesame,25°-35° C,50-75 cm,
barley,12°-15°C,180-400 mm,
maize,15°-27°C,65-125 cm,
coffee,15°-28°C, 125-225 cm,
rubber,27°C,150-250 cm,
coconut,27°C,100-250 cm,
cashew ,20°-30°C,1-2 cm,
tea,15° -35°C,100-250 cm,
spices,20°-30°C,1500-2250 mm,
gram,27°-30°C,60-140 cm,
pulses,20° -27°C,25-60 cm,
millets,20°-30°C,50-75 cm,
vegetables,21° -32°C,25-75 cm,
banana,26°-30°C,650-750 mm,
corn,15°-35°C,50-100 cm,
fruits,13°-40°C,100 -125 cm,
